cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
121,Rubiaceae,Elaeagia.karstenii,1.3,90.0,360.0,1.3,estriada,estriada,710847.551,9558904.760,2282.591,0,1
123,Rubiaceae,Psychotria.tinctoria,1.4,20.0,104.0,0.8,estriada,estriada,710846.678,9558904.164,2282.756,0,1
124,Piperaceae,Piper.sp1,2.4,5.0,89.0,0.7,estriada,estriada,710846.885,9558905.517,2283.131,0,1
125,Rubiaceae,Palicourea.angustifolia,4.3,61.0,100.0,3.5,estriada,estriada,710846.508,9558906.080,2283.368,0,1
127,Rubiaceae,Palicourea.angustifolia,1.8,50.0,186.0,2.7,lisa,lisa,710845.356,9558906.191,2284.100,0,1
128,Rubiaceae,Elaeagia.karstenii,4.3,57.0,112.0,2.9,pustulas,pustulas,710844.936,9558906.174,2284.187,0,1
129,Araliaceae,Schefflera.cf.acuminata,10.2,23.0,34.0,5.9,estriada,estriada,710844.631,9558906.668,2284.269,0,1
130,Lecythidaceae,Eschweilera.sessilis,20.5,90.0,360.0,8.8,estriada,estriada,710845.755,9558903.931,2283.095,0,1
131,Caprifoliaceae,Viburnum.pichinchense,15.5,70.0,180.0,6.9,estriada,estriada,710850.342,9558902.307,2281.326,0,1
132,Meliaceae,Ruagea.glabra,3.7,64.0,350.0,4.2,estriada,estriada,710852.218,9558902.350,2279.862,0,1
133,Liana,Liana,3.2,44.0,183.0,7.2,lisa,lisa,710851.232,9558902.123,2280.366,0,1
134,Meliaceae,Ruagea.glabra,3.5,75.0,180.0,3.5,lisa,lisa,710851.282,9558901.775,2280.208,0,1
135,Lauraceae,Nectandra.reticulata,3.8,64.0,150.0,6.0,lisa,lisa,710851.783,9558901.225,2280.120,0,1
136,Lauraceae,Nectandra.reticulata,1.5,56.0,180.0,2.0,lisa,lisa,710851.788,9558901.070,2280.124,0,1
137,Meliaceae,Cedrela.sp1,1.7,50.0,170.0,3.0,lisa,lisa,710852.274,9558901.437,2279.641,0,1
